case_id,description,Intersection_num,case_no.,unit_1_direction,unit_1_movement,unit_2_direction,unit_2_movement,unit_at_fault,crash_type
16-012210,"3300 GEORGE DIETER IS A TWO LANE MARKED ROADWAY NORTH WITH A
ADATORY LEFT TURN LANE GOING WEST AND A TWO LANE MARKED
ROADAWAY SOUTH WITH A MANDATORY LEFT TURN LANE GOING EAST.
11300 EDGEMERE IS A TWO LANE MARKED ROADWAY EAST AND A TWO LANE
I * KED ROADWAY WEST BOTH HAVE A MANDATORY LEFT TURN LANE. UNIT
2 WAS TRAVELING SOUTH ON GEORGE DIETER IN THE RIGHT LANE. UNIT
1 WAS TRAVELING NORTH ON GEORGE DIETER AND MAKING A LEFT TURN
ONTO EDGEMERE. UNIT 1 FAILED TO YIELD THE RIGHT OF WAY TURNING
LEFT AND CAUSED COLLISION WITH UNIT 2. DRIVER OF UNIT 1 STATED
THAT HE TURNED ON A SOLID GREEN WITH NO ARROW. DRIVER OF UNIT 2
AS COMPLAINING OF PAIN TO BOTH WRISTS BUT REFUSED TRANSPORT.",1,1,NB,LT,SB,TH,unit 1,left turn
16-032039,"The 11100 blk of Edgemere is a four marked roadway that travels
/B and E/B. Both unit #1 and unit #2 were traveling WVB on the
number #1 lane. Unit #2 had stopped due to a vehicle in front of

IEIEE3 CHM-‘G55

  
  

FA CT ORS &
CONDITIONS

intwas making a left turn onto Ivanhoe. Unit #1 failed to
control her speed and struck unit #2. No injuries or independent
itnesses were reported. Driver to unit #1 was issued a
citation.",1,2,WB,TH,WB,TH,unit 1,rear end
16-065038,"3300 George Dieter is a four lane roadway divided.by a protected
-dian with a mandatory left turn lane that travels Northbound
and Southbound. Unit 3 was stopped at the northbound lanes of
George Dieter at the intersection of George Dieter and Edgemere.
nit 2 was traveling Northbound on George Dieter approaching a
red light at the intersection of George Dieter and Edgemere.

nit 1 was traveling Northbound at a high rate of speed.behind
nit 2. Unit 1 collided against Unit 2 from.the rear (extensive
damage) and.pushed Unit 2 against Unit 3. Unit 2 then struck

nit 3 from.the rear in an angular position (extensive damage)
impact.When Officers arrived, the driver of Unit 1 had.been
transported to Providence East. The driver and.passenger of Unit
2 got scared and drove to Rising Sun (three blocks east of
accident). The driver of Unit 2 contacted his mother and stayed
at Rising Sun. There was an unidentified.passenger in Unit 2 who
fled the scene. The driver and any occupants of Unit 3 fled the
scene and.parked the vehicle on 11300 Quintana (west).Another

E
E
5..
o
o
2
E.
E
E
E
2

patrol unit conducted a follow up at the hospital to identify
the driver of Unit 1. The driver of Unit 1 sustained non—life
threatening minor injuries and.was not awake at the time the
Officers followed up.",1,3,NB,TH,NB,TH,unit 1,rear end
16-076139,"The 11200 block of Edgemere is a five lane marked roadway three
lanes east bound, one lane being a mandatory left turn lane, and
two lanes west bound. The 3300 block of George Dieter is a five
lane marked roadway two lanes south bound, three lanes north
hound, one lane being a mandatory left turn lane. Unit 2 was
eading east on Edgemere in the right lane, proceeded forward
after the light turned green. Unit 1 was in the left turn lane
on Edgemere heading west and turning south when Unit 1 failed to
ield the right of way and collided into unit 2. Witness(
Robert Cordova (915) 731—4314)who was stopped at the red light
facing north on George Dieter advised officers unit 1 failed to
ield the right of way. There were no injuries at the scene to
report. The driver of Unit 1 was cited accordingly.",1,4,WB,LT,EB,TH,unit 1,left turn
16-081147,"3300 George Dieter is a two way six lane roadway with two
northbound lanes and one mandatory left turn lane; two
southbound lanes and one mandatory left turn lane. 11300
Edgemere is two way six lane roadway with two eastbound lanes
and one mandatory left turn lane; two westbound lanes and one
-ndatory left turn lane. Unit #1 was traveling southbound on
George Dieter attempting a left turn onto Edgemere. Unit #2 was
traveling northbound on George Dieter in the outside lane..As
nit #1 proceeded.with the left turn Unit #1 failed to yield to
nit #2 who was still traveling northbound. There was one
independent witness: Arlene Barreras ph# 329-7477 who stated the
same. There were two reported injuries; Driver of Unit #1
sustained lacerations to face, and.passenger to Unit #1
complained of stomach pain.",1,5,SB,LT,NB,TH,unit 1,left turn
16-091268,"Unit 2 was stopped in the left lane facing eastbound on
Edgemere, behind other vehicles, waiting for the signal to turn
green. Unit 1 was traveling eastbound in the left lane when the
driver failed to control speed and collided with the back of
nit 2. The driver of Unit 2 exited her vehicle and went to see
if the driver of Unit 1 was injured. The driver of Unit 2 told
the driver of Unit 1 to pull over into the parking lot. The
driver of Unit 2 returned to her vehicle and.moved into the
parking lot. Unit 1 then fled the scene without attempting to

DH-‘I GRAM

exchange any information.",1,6,EB,TH,EB,TH,unit 1,rear end
16-146117,"river of Unit 2 came in to the PHRC CRC and stated that on the
listed date and time at the address of occurrence Unit 2 was in
the left turn lane and the traffic light had turned yellow so
nit 2 stopped and'was rear ended.by Unit 1. No injuries or
itnesses reported. Driver of Unit 1 has no valid driver
license.",1,7,SB,TH,SB,TH,unit 1,rear end
16-177127,"11200 Edgemere is a four lane two way roadway traveling East and
est, divided.by a center double line and a mandatory left
turning lane. 3300 George Dieter is a four lane two way roadway
traveling North and South, divided.by a center median and a
:-ndatory left turning lane. Unit 2 was traveling East bound on
Edgemere on the inside lane and'waiting on a red light. Unit 1
as traveling East bound on Edgemere behind unit 2. Driver of
nit 1 failed to control speed and struck unit 2 on the rear.
There were no reported injuries at the scene and one witness.The
itness stated he did not observe the accident, but when he
arrived to render aid he observed the driver of unit 1 slumped
over on the wheel. Officers and EMS personnel were not able to
detect any alcohol on breath on the driver of unit 1. Driver of
nit 1 did stated they have been up all day and the night before
taking care of a family member at the hospital",1,8,EB,TH,EB,TH,unit 1,rear end
16-193247,"11200 Edgemere is a four—lane, two—way roadway divided.by a
protected.median that travels Eastbound and.Westbound.with a
-ndatory left turn lane. 3300 George Dieter is a four—lane, two
—way roadway divided.by a protected.median that travels
Iorthbound and Southbound.with a mandatory left turn lane. The
driver of Unit 2 advised she was traveling Eastbound in the left
lane at the 11200 block of Edgemere. The driver of Unit 2
advised Unit 1 was traveling Northbound in an unknown lane at
the 3300 block of George Dieter. The driver of Unit 1 advised
she had a green light at the intersection between George Dieter
and Edgemere. The driver of Unit 2 advised Unit 1 did not stop
at the red light. The driver of Unit 2 advised she was unable to",1,9,NB,TH,EB,TH,unit 1,right angle
16-197156,"3300 BLOCK OF GEORGE DIETER IS.A FOUR LANE ROADWAY TRAVELS NORTH
* I SOUTHT BOUND WITH A.MANDATORY RIGHT TURN LANE WHEN TRAVELING
IORTH BOUND.IT SHOULD BE NOTED THE OUTSIDE LANE IS WIDER THAN
THE REST OF THE OTHER LANES. UNIT 2 WAS IN THE RIGHT LANE
STOPPED AT A.RED LIGHT. UNIT 1 DRIVER ADVISED SHE WAS IN THE
IIDDLE LANE TRAVELING NORTH BOUND. UNIT 2 DRIVER ADVISED THE
LIGHT TURNED GREEN AND WAS ABOUT TO MOVE FORWARD WHEN UNIT 1
STRUCK HER VEHICLE. UNIT 1 DRIVER ADVISED SHE WAS IN THE MIDDLE
LANE AND.ATTEMPTED TO CHANGE TO THE RIGHT LANE. UNIT 1 DRIVER
*IVISED WHEN SHE CHANGED LANE SHE WAS UNABLE TO STOP AND STRUCK
IT 2. NO WITNESS AND NO INJURIES REPORTED AT THE SCENE.",1,10,NB,TH,NB,TH,unit 1,rear end
